timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 4, 2025 @ 07:30:02.364",hera2,PAM: Login session opened.,3,5501
"Jun 4, 2025 @ 07:30:03.136",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 4, 2025 @ 09:59:32.390",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.394",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.398",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.411",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.428",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.433",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.441",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.463",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.467",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.501",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.505",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.514",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.548",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.569",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.582",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.587",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.591",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.604",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.612",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.616",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.625",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.638",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.659",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.680",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.685",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.693",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.702",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.710",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:32.727",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.402",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.402",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.421",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.422",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.441",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.441",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.475",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.511",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.531",hera.ugr.es,Samba connection denied.,5,13102
"Jun 4, 2025 @ 09:59:36.531",hera.ugr.es,Samba connection denied.,5,13102
